geohash,major_category_weekday,major_category_holiday,major_category_morning,major_category_afternoon,major_category_evening,major_category_night
xn74x6,Residential,Residential,Residential,Residential,Residential,Residential
xn74x7,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
xn74x8,Educational,Healthcare & Welfare,0,Educational,Educational,Healthcare & Welfare
xn74xd,Educational,Educational,Educational,Educational,Educational,0
xn74xe,Commercial/Services,Residential,Commercial/Services,Educational,Educational,Commercial/Services
xn74xf,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,0
xn74xg,Commercial/Services,Commercial/Services,Transportation,Transportation,Commercial/Services,Commercial/Services
xn74xj,Educational,0,0,Educational,Educational,0
xn74xk,Residential,Residential,0,Residential,Residential,Residential
xn74xn,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74xq,Culture & Leisure,Culture & Leisure,0,0,Culture & Leisure,Culture & Leisure
xn74xu,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74xv,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74xw,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74y0,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn74y1,Culture & Leisure,Culture & Leisure,Transportation,Culture & Leisure,Culture & Leisure,Culture & Leisure
xn74y2,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74y4,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74y5,Transportation,Transportation,Transportation,Transportation,Transportation,0
xn74y6,0,Transportation,0,Transportation,0,Transportation
xn74yb,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
xn74yc,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn74yd,Transportation,Transportation,Transportation,Transportation,Transportation,0
xn74yg,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74yh,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Transportation
xn74yj,Transportation,Transportation,Transportation,Transportation,Commercial/Services,Commercial/Services
xn74yk,Transportation,Commercial/Services,Transportation,Transportation,Commercial/Services,Commercial/Services
xn74ym,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74yn,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
xn74ys,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
xn74yu,0,Commercial/Services,0,Commercial/Services,Commercial/Services,0
xn74yy,Transportation,Transportation,0,Transportation,0,Transportation
xn74yz,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,0
xn74z0,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74z1,Commercial/Services,Commercial/Services,Commercial/Services,0,0,Commercial/Services
xn74z3,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn74z4,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn74z5,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74z6,Transportation,Transportation,Transportation,Transportation,Commercial/Services,Transportation
xn74z7,Educational,Educational,Educational,Educational,Educational,Educational
xn74z8,Commercial/Services,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services
xn74z9,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
xn74zb,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,0
xn74zc,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn74zd,Commercial/Services,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Commercial/Services
xn74zf,Transportation,Commercial/Services,Transportation,Transportation,Transportation,Commercial/Services
xn74zg,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn74zh,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
xn74zj,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn74zr,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,0
xn74zt,Residential,Residential,Culture & Leisure,Residential,Residential,Residential
xn74zx,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn74zy,Transportation,Transportation,Healthcare & Welfare,Transportation,Transportation,Transportation
xn74zz,Transportation,Transportation,Transportation,0,0,0
xn75jb,Commercial/Services,Commercial/Services,Educational,Commercial/Services,Commercial/Services,Commercial/Services
xn75jf,Transportation,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
xn75jg,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75jv,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn75jy,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75jz,Culture & Leisure,Culture & Leisure,Transportation,Transportation,Culture & Leisure,Culture & Leisure
xn75mb,Residential,Residential,Residential,Residential,Residential,Residential
xn75n2,Commercial/Services,0,0,Commercial/Services,0,0
xn75n5,Culture & Leisure,Culture & Leisure,0,Culture & Leisure,Culture & Leisure,Culture & Leisure
xn75n8,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0,0
xn75nd,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn75ne,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75ng,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75nh,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,0
xn75nk,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn75nr,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,0
xn75nt,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75nu,Educational,Educational,Educational,Educational,Educational,0
xn75nv,Educational,Educational,0,Educational,Educational,0
xn75nx,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75ny,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
xn75p1,Educational,Educational,Educational,Educational,0,0
xn75p5,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn75p7,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75p8,Transportation,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
xn75pb,Transportation,Healthcare & Welfare,Transportation,Transportation,Healthcare & Welfare,Transportation
xn75pc,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,0
xn75pd,Residential,Residential,Residential,Residential,0,Residential
xn75pe,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75pf,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn75pg,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75pj,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn75pr,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75ps,Commercial/Services,Commercial/Services,Transportation,0,Commercial/Services,Commercial/Services
xn75pt,Residential,Residential,0,0,Residential,Residential
xn75pu,Commercial/Services,Transportation,0,Commercial/Services,Transportation,Transportation
xn75pv,Commercial/Services,Commercial/Services,0,0,Commercial/Services,Commercial/Services
xn75py,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn75pz,Commercial/Services,Educational,Educational,Commercial/Services,Commercial/Services,0
xn75q1,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75q2,Commercial/Services,Commercial/Services,0,0,Commercial/Services,Commercial/Services
xn75q3,Commercial/Services,Commercial/Services,Commercial/Services,0,0,Commercial/Services
xn75q5,0,Commercial/Services,0,Commercial/Services,0,0
xn75q6,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn75q7,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,0
xn75q8,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn75qc,Culture & Leisure,Culture & Leisure,0,Culture & Leisure,Culture & Leisure,Culture & Leisure
xn75qd,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,0
xn75qe,Commercial/Services,0,0,Commercial/Services,0,0
xn75qt,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn75r8,Culture & Leisure,Transportation,Culture & Leisure,Transportation,Commercial/Services,Culture & Leisure
xn75rb,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75rg,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
xn75rj,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75rk,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75rt,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn75wb,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
xn75ws,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75xb,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75xc,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn75xn,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75xt,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn75xu,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn75z8,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn75zf,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
xn760j,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0,0
xn760m,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn760n,Transportation,Commercial/Services,Transportation,Transportation,Transportation,Transportation
xn760p,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn760u,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn760w,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn760y,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7613,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7615,Culture & Leisure,Transportation,Culture & Leisure,Transportation,Transportation,Culture & Leisure
xn7616,Transportation,Transportation,Commercial/Services,Transportation,Transportation,Transportation
xn7617,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn761e,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn761k,Commercial/Services,Transportation,Commercial/Services,Transportation,Commercial/Services,Transportation
xn761m,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn761n,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn761p,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn761r,Transportation,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
xn761s,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,0
xn761u,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn761x,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn761y,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7620,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7621,Educational,Educational,Educational,Educational,Educational,Educational
xn7622,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn7623,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7624,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7629,Transportation,Transportation,0,Transportation,Transportation,Transportation
xn762b,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn762d,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn762f,Commercial/Services,0,Commercial/Services,Commercial/Services,0,0
xn762h,Transportation,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Transportation
xn762j,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn762k,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn762m,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn762n,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn762p,Culture & Leisure,Transportation,Culture & Leisure,Transportation,Culture & Leisure,Culture & Leisure
xn762q,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn762w,Residential,Residential,Residential,0,Residential,Residential
xn762x,Transportation,Transportation,Transportation,0,Transportation,0
xn762z,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7633,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7635,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7636,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7638,Transportation,Transportation,Transportation,Commercial/Services,Transportation,Transportation
xn7639,Residential,Residential,Residential,Residential,Residential,Residential
xn763b,Educational,Educational,Educational,Educational,Educational,Commercial/Services
xn763c,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn763d,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn763f,Transportation,Commercial/Services,Transportation,Transportation,Commercial/Services,Commercial/Services
xn763g,Commercial/Services,0,0,Commercial/Services,Commercial/Services,Commercial/Services
xn763j,Residential,Culture & Leisure,0,Culture & Leisure,Residential,Culture & Leisure
xn763n,Residential,Commercial/Services,0,Residential,Residential,Commercial/Services
xn763p,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn763q,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Transportation,Commercial/Services
xn763t,Transportation,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
xn763u,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn763y,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
xn7640,Transportation,Transportation,0,Transportation,Transportation,0
xn7641,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
xn7643,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7646,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,0,Healthcare & Welfare
xn7649,Transportation,Transportation,Transportation,Transportation,0,0
xn764d,Commercial/Services,Commercial/Services,0,0,Commercial/Services,0
xn764e,Healthcare & Welfare,Healthcare & Welfare,0,Commercial/Services,Healthcare & Welfare,0
xn764f,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn764g,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn764j,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Transportation
xn764k,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn764m,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,0
xn764q,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn764r,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn764s,Commercial/Services,Transportation,Commercial/Services,Transportation,Transportation,Transportation
xn764t,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn764u,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn764v,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn764w,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn764z,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7651,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn7653,Residential,Residential,0,Residential,Residential,Residential
xn7655,Culture & Leisure,Culture & Leisure,Healthcare & Welfare,Culture & Leisure,Culture & Leisure,Culture & Leisure
xn7657,Transportation,Transportation,Transportation,0,Transportation,0
xn765c,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,0
xn765d,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn765e,Transportation,Transportation,0,Transportation,Transportation,Transportation
xn765h,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn765j,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn765k,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn765n,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn765q,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn765r,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn765s,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
xn765t,Transportation,Transportation,Transportation,Transportation,Commercial/Services,Transportation
xn765v,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Commercial/Services,Culture & Leisure
xn765w,Commercial/Services,0,0,Commercial/Services,0,0
xn765x,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn765y,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn765z,Educational,0,Educational,Educational,Educational,Educational
xn7660,Commercial/Services,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services
xn7661,Transportation,Culture & Leisure,Transportation,Culture & Leisure,Culture & Leisure,0
xn7662,Transportation,Transportation,Transportation,Transportation,Transportation,0
xn7663,Transportation,Transportation,Transportation,Transportation,Commercial/Services,Transportation
xn7664,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7665,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Transportation,Transportation
xn7666,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7667,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn766b,Transportation,Transportation,Educational,Educational,Transportation,Transportation
xn766c,Transportation,Commercial/Services,Commercial/Services,Commercial/Services,Transportation,Transportation
xn766d,Culture & Leisure,Commercial/Services,Culture & Leisure,Commercial/Services,Culture & Leisure,Culture & Leisure
xn766e,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn766f,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
xn766g,Transportation,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
xn766h,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn766j,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn766m,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn766n,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn766q,Commercial/Services,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,0
xn766r,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn766s,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn766t,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn766u,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
xn766v,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Transportation,Commercial/Services
xn766w,Commercial/Services,Transportation,Commercial/Services,Transportation,Commercial/Services,Commercial/Services
xn766x,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7670,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7671,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7673,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7674,Residential,Residential,Transportation,Commercial/Services,Commercial/Services,Residential
xn7675,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7676,Commercial/Services,Commercial/Services,Educational,Commercial/Services,Commercial/Services,Transportation
xn7677,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7678,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
xn7679,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
xn767b,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn767d,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
xn767e,Transportation,Transportation,Transportation,Transportation,Commercial/Services,Transportation
xn767f,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn767g,Commercial/Services,Culture & Leisure,Commercial/Services,Culture & Leisure,Culture & Leisure,Commercial/Services
xn767h,Commercial/Services,Culture & Leisure,Culture & Leisure,Culture & Leisure,Commercial/Services,Commercial/Services
xn767k,Residential,Residential,Residential,Residential,Residential,Commercial/Services
xn767n,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn767p,Transportation,Commercial/Services,Commercial/Services,Commercial/Services,Transportation,Transportation
xn767s,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn767t,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn767u,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn767v,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Commercial/Services,Culture & Leisure
xn767w,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn767x,Culture & Leisure,Culture & Leisure,Transportation,Culture & Leisure,Culture & Leisure,Commercial/Services
xn767y,Transportation,Transportation,Culture & Leisure,Culture & Leisure,Transportation,Transportation
xn767z,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7682,Commercial/Services,0,0,0,Commercial/Services,0
xn7684,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,0
xn7685,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7686,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn7689,Transportation,Commercial/Services,Transportation,Commercial/Services,Transportation,Transportation
xn768b,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn768c,Commercial/Services,Healthcare & Welfare,0,Healthcare & Welfare,Commercial/Services,Commercial/Services
xn768d,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn768h,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn768j,Transportation,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Transportation
xn768n,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
xn768p,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,0
xn768r,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn768s,Transportation,Transportation,Transportation,Transportation,0,Transportation
xn768u,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Culture & Leisure
xn768v,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn768w,Commercial/Services,Educational,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn768x,Commercial/Services,Commercial/Services,Commercial/Services,Educational,Commercial/Services,Commercial/Services
xn768y,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn768z,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn7691,Transportation,Culture & Leisure,Transportation,Transportation,Transportation,Transportation
xn7694,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7695,Educational,Educational,Educational,Educational,Educational,0
xn7696,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn7697,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Culture & Leisure
xn769b,Educational,Educational,Educational,Educational,Educational,0
xn769c,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
