geohash,major_category_weekday,major_category_holiday,major_category_morning,major_category_afternoon,major_category_evening,major_category_night
dr5pzh,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5pzj,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5pzm,Residential,Residential,Residential,Residential,Residential,Residential
dr5pzq,Educational,Unknown,Educational,Educational,Unknown,Unknown
dr5pzt,Residential,Residential,Residential,Residential,Residential,Residential
dr5pzv,Transportation,Unknown,Transportation,Transportation,Transportation,Transportation
dr5pzy,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Unknown
dr5qbe,Residential,Residential,Residential,Residential,Residential,Residential
dr5qbm,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5qbq,Residential,Residential,Residential,Commercial/Services,Residential,Residential
dr5qbw,Educational,Educational,Educational,Educational,Educational,Unknown
dr5qbx,Educational,Educational,Educational,Educational,Educational,Unknown
dr5qc3,Residential,Residential,Unknown,Residential,Residential,Residential
dr5qf4,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5qfh,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare
dr5qft,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5qfx,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5qu4,Residential,Residential,Residential,Residential,Residential,Residential
dr5qu7,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5qud,Transportation,Transportation,Transportation,Culture & Leisure,Culture & Leisure,Transportation
dr5que,Transportation,Commercial/Services,Transportation,Commercial/Services,Transportation,Transportation
dr5quf,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5qug,Unknown,Commercial/Services,Unknown,Commercial/Services,Unknown,Unknown
dr5quj,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5quk,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5qum,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Unknown
dr5qun,Commercial/Services,Unknown,Unknown,Commercial/Services,Unknown,Unknown
dr5qup,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5quq,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Unknown
dr5qur,Residential,Residential,Residential,Culture & Leisure,Residential,Residential
dr5qut,Transportation,Culture & Leisure,Culture & Leisure,Transportation,Transportation,Transportation
dr5quw,Commercial/Services,Culture & Leisure,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services
dr5qux,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
dr5qve,Educational,Unknown,Educational,Educational,Educational,Unknown
dr5qvh,Healthcare & Welfare,Healthcare & Welfare,Transportation,Healthcare & Welfare,Healthcare & Welfare,Transportation
dr5qvj,Educational,Unknown,Educational,Unknown,Unknown,Unknown
dr5qvk,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5qvm,Residential,Residential,Residential,Residential,Residential,Residential
dr5qvn,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5qvq,Residential,Residential,Unknown,Residential,Residential,Residential
dr5qvs,Residential,Culture & Leisure,Residential,Culture & Leisure,Culture & Leisure,Residential
dr5qvt,Residential,Residential,Unknown,Residential,Residential,Residential
dr5qvy,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure
dr5qwp,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown
dr5qym,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare
dr5qyt,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown,Unknown
dr5qz1,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown
dr5qzd,Unknown,Culture & Leisure,Unknown,Unknown,Culture & Leisure,Unknown
dr5qzf,Culture & Leisure,Culture & Leisure,Unknown,Unknown,Culture & Leisure,Culture & Leisure
dr5qzg,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5r00,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Unknown
dr5r02,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Unknown
dr5r03,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5r04,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown
dr5r05,Culture & Leisure,Transportation,Transportation,Culture & Leisure,Transportation,Culture & Leisure
dr5r09,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Unknown
dr5r0v,Residential,Residential,Residential,Residential,Residential,Residential
dr5r0y,Transportation,Transportation,Transportation,Transportation,Unknown,Transportation
dr5r10,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5r11,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5r18,Residential,Residential,Residential,Transportation,Residential,Residential
dr5r1b,Residential,Residential,Residential,Unknown,Residential,Residential
dr5r1f,Residential,Unknown,Unknown,Unknown,Unknown,Residential
dr5r1g,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Residential
dr5r1s,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Unknown
dr5r1t,Healthcare & Welfare,Unknown,Healthcare & Welfare,Unknown,Unknown,Unknown
dr5r1z,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5r21,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5r23,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5r24,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5r2h,Transportation,Transportation,Transportation,Transportation,Unknown,Transportation
dr5r2p,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r2y,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Unknown,Unknown
dr5r30,Residential,Culture & Leisure,Culture & Leisure,Residential,Residential,Residential
dr5r33,Residential,Residential,Residential,Residential,Residential,Residential
dr5r36,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r37,Healthcare & Welfare,Unknown,Unknown,Unknown,Healthcare & Welfare,Unknown
dr5r39,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5r3d,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5r3e,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Unknown
dr5r3h,Residential,Residential,Unknown,Residential,Residential,Residential
dr5r3m,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5r3s,Transportation,Commercial/Services,Transportation,Transportation,Culture & Leisure,Commercial/Services
dr5r3t,Residential,Residential,Residential,Residential,Residential,Residential
dr5r3v,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r3y,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5r40,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5r41,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5r45,Residential,Residential,Residential,Residential,Residential,Residential
dr5r46,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5r47,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Residential,Residential
dr5r4k,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r4m,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Unknown,Unknown
dr5r4q,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r4r,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r50,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r53,Unknown,Commercial/Services,Commercial/Services,Unknown,Unknown,Unknown
dr5r56,Residential,Residential,Commercial/Services,Commercial/Services,Residential,Residential
dr5r5b,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Commercial/Services
dr5r5f,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5r5g,Residential,Residential,Residential,Residential,Residential,Residential
dr5r5k,Residential,Residential,Residential,Unknown,Residential,Residential
dr5r5s,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Unknown,Unknown,Unknown
dr5r5t,Residential,Residential,Residential,Residential,Residential,Residential
dr5r5u,Transportation,Commercial/Services,Transportation,Transportation,Transportation,Commercial/Services
dr5r5v,Transportation,Commercial/Services,Transportation,Culture & Leisure,Transportation,Commercial/Services
dr5r5w,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5r5x,Culture & Leisure,Culture & Leisure,Healthcare & Welfare,Culture & Leisure,Commercial/Services,Culture & Leisure
dr5r5z,Residential,Residential,Residential,Unknown,Residential,Residential
dr5r6b,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r6p,Transportation,Transportation,Transportation,Unknown,Transportation,Unknown
dr5r6q,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r7b,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r7c,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5r7h,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r7j,Transportation,Unknown,Unknown,Transportation,Unknown,Unknown
dr5r7s,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5r7u,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5r7x,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Unknown
dr5r80,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r8d,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r8h,Residential,Residential,Residential,Residential,Residential,Residential
dr5r8n,Healthcare & Welfare,Commercial/Services,Commercial/Services,Healthcare & Welfare,Commercial/Services,Commercial/Services
dr5r8p,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5r8r,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5r8x,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5r8y,Residential,Residential,Unknown,Residential,Residential,Residential
dr5r9c,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5r9u,Residential,Residential,Unknown,Residential,Unknown,Residential
dr5rb0,Educational,Educational,Educational,Educational,Educational,Unknown
dr5rb1,Transportation,Residential,Transportation,Residential,Transportation,Transportation
dr5rb3,Educational,Educational,Educational,Educational,Educational,Educational
dr5rb4,Residential,Residential,Residential,Unknown,Residential,Residential
dr5rb6,Transportation,Commercial/Services,Transportation,Transportation,Commercial/Services,Commercial/Services
dr5rb8,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rb9,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rbc,Commercial/Services,Commercial/Services,Unknown,Unknown,Commercial/Services,Commercial/Services
dr5rbd,Educational,Unknown,Educational,Unknown,Educational,Unknown
dr5rbg,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5rbm,Residential,Residential,Residential,Residential,Residential,Residential
dr5rbn,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown
dr5rbp,Transportation,Transportation,Transportation,Commercial/Services,Transportation,Transportation
dr5rbq,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rbr,Transportation,Unknown,Transportation,Unknown,Transportation,Unknown
dr5rbs,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5rbt,Educational,Educational,Educational,Educational,Educational,Unknown
dr5rby,Residential,Commercial/Services,Commercial/Services,Unknown,Residential,Residential
dr5rd3,Transportation,Transportation,Transportation,Unknown,Transportation,Unknown
dr5rd4,Educational,Unknown,Educational,Educational,Educational,Unknown
dr5rd5,Educational,Residential,Educational,Educational,Residential,Residential
dr5rdg,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rdj,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rdt,Residential,Residential,Residential,Residential,Residential,Residential
dr5rdv,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown
dr5rdw,Residential,Residential,Residential,Residential,Residential,Residential
dr5rdx,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rdy,Healthcare & Welfare,Commercial/Services,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Commercial/Services
dr5re5,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5re7,Commercial/Services,Unknown,Healthcare & Welfare,Commercial/Services,Commercial/Services,Unknown
dr5re9,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Unknown
dr5reb,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rec,Transportation,Transportation,Commercial/Services,Transportation,Transportation,Transportation
dr5red,Transportation,Unknown,Transportation,Unknown,Unknown,Transportation
dr5ree,Commercial/Services,Culture & Leisure,Culture & Leisure,Commercial/Services,Commercial/Services,Culture & Leisure
dr5ref,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5reg,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Transportation,Transportation
dr5reh,Transportation,Commercial/Services,Transportation,Commercial/Services,Transportation,Transportation
dr5rej,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rek,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Transportation,Healthcare & Welfare
dr5rem,Commercial/Services,Unknown,Commercial/Services,Unknown,Unknown,Unknown
dr5ren,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Residential
dr5rep,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5req,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rer,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5reu,Commercial/Services,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services,Commercial/Services
dr5rev,Transportation,Transportation,Commercial/Services,Transportation,Transportation,Residential
dr5rew,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rey,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rez,Commercial/Services,Culture & Leisure,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services
dr5rf8,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5rfb,Culture & Leisure,Commercial/Services,Educational,Commercial/Services,Commercial/Services,Culture & Leisure
dr5rfc,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Residential
dr5rff,Residential,Commercial/Services,Residential,Unknown,Commercial/Services,Residential
dr5rfk,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rfw,Healthcare & Welfare,Residential,Unknown,Healthcare & Welfare,Healthcare & Welfare,Residential
dr5rfx,Commercial/Services,Unknown,Commercial/Services,Unknown,Unknown,Unknown
dr5rfz,Transportation,Transportation,Unknown,Transportation,Transportation,Transportation
dr5rg0,Residential,Residential,Unknown,Residential,Residential,Residential
dr5rg1,Healthcare & Welfare,Unknown,Healthcare & Welfare,Unknown,Unknown,Unknown
dr5rg2,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rg3,Commercial/Services,Healthcare & Welfare,Commercial/Services,Healthcare & Welfare,Healthcare & Welfare,Commercial/Services
dr5rg4,Transportation,Residential,Transportation,Transportation,Transportation,Residential
dr5rg5,Residential,Transportation,Unknown,Transportation,Residential,Transportation
dr5rg6,Educational,Healthcare & Welfare,Educational,Educational,Commercial/Services,Commercial/Services
dr5rg7,Residential,Residential,Residential,Residential,Residential,Residential
dr5rg9,Residential,Residential,Residential,Residential,Residential,Residential
dr5rgb,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rgc,Commercial/Services,Culture & Leisure,Healthcare & Welfare,Culture & Leisure,Culture & Leisure,Commercial/Services
dr5rgd,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rgf,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rgh,Transportation,Commercial/Services,Educational,Transportation,Transportation,Transportation
dr5rgj,Educational,Commercial/Services,Educational,Educational,Commercial/Services,Commercial/Services
dr5rgk,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5rgm,Educational,Residential,Educational,Residential,Residential,Residential
dr5rgn,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5rgq,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Culture & Leisure
dr5rgr,Residential,Residential,Residential,Culture & Leisure,Culture & Leisure,Residential
dr5rgs,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
dr5rgt,Transportation,Residential,Transportation,Transportation,Residential,Transportation
dr5rgu,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rgw,Transportation,Commercial/Services,Transportation,Transportation,Commercial/Services,Transportation
dr5rgx,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rgy,Residential,Residential,Residential,Residential,Residential,Residential
dr5rgz,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rh0,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rh1,Transportation,Transportation,Transportation,Transportation,Residential,Commercial/Services
dr5rh2,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Commercial/Services
dr5rh3,Residential,Residential,Transportation,Residential,Residential,Residential
dr5rh4,Transportation,Transportation,Transportation,Transportation,Unknown,Transportation
dr5rh5,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rh6,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rh8,Transportation,Residential,Transportation,Transportation,Residential,Residential
dr5rh9,Residential,Residential,Residential,Residential,Residential,Residential
dr5rhb,Healthcare & Welfare,Unknown,Unknown,Healthcare & Welfare,Healthcare & Welfare,Unknown
dr5rhd,Transportation,Transportation,Transportation,Transportation,Commercial/Services,Commercial/Services
dr5rhe,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5rhf,Residential,Residential,Residential,Residential,Residential,Residential
dr5rhg,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Unknown
dr5rhj,Culture & Leisure,Culture & Leisure,Transportation,Residential,Culture & Leisure,Culture & Leisure
dr5rhk,Residential,Residential,Unknown,Residential,Residential,Residential
dr5rhm,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rhn,Healthcare & Welfare,Culture & Leisure,Transportation,Healthcare & Welfare,Healthcare & Welfare,Culture & Leisure
dr5rhp,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rhq,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rhs,Residential,Residential,Residential,Transportation,Residential,Transportation
dr5rht,Transportation,Transportation,Transportation,Transportation,Commercial/Services,Transportation
dr5rhu,Residential,Transportation,Transportation,Transportation,Transportation,Residential
dr5rhv,Transportation,Transportation,Transportation,Transportation,Residential,Residential
dr5rhw,Culture & Leisure,Commercial/Services,Culture & Leisure,Commercial/Services,Residential,Culture & Leisure
dr5rhx,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rhy,Residential,Residential,Commercial/Services,Commercial/Services,Residential,Residential
dr5rj0,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rj4,Residential,Transportation,Residential,Residential,Unknown,Transportation
dr5rj5,Residential,Residential,Residential,Residential,Residential,Residential
dr5rj7,Residential,Residential,Residential,Residential,Residential,Residential
dr5rj9,Residential,Residential,Residential,Residential,Residential,Residential
dr5rjb,Commercial/Services,Culture & Leisure,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services
dr5rjh,Educational,Educational,Educational,Educational,Educational,Educational
dr5rjj,Residential,Residential,Unknown,Residential,Residential,Residential
dr5rjk,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
dr5rjm,Residential,Residential,Unknown,Residential,Residential,Residential
dr5rjp,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Unknown
dr5rju,Residential,Residential,Residential,Residential,Transportation,Residential
dr5rjv,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rjw,Healthcare & Welfare,Healthcare & Welfare,Unknown,Healthcare & Welfare,Healthcare & Welfare,Unknown
dr5rk1,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5rk6,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Unknown,Unknown,Unknown
dr5rk7,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
dr5rk8,Commercial/Services,Culture & Leisure,Culture & Leisure,Culture & Leisure,Commercial/Services,Commercial/Services
dr5rkb,Residential,Residential,Transportation,Transportation,Residential,Residential
dr5rkc,Transportation,Transportation,Transportation,Culture & Leisure,Transportation,Transportation
dr5rkd,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rke,Commercial/Services,Commercial/Services,Unknown,Residential,Commercial/Services,Commercial/Services
dr5rkf,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rkg,Residential,Culture & Leisure,Residential,Culture & Leisure,Culture & Leisure,Residential
dr5rkh,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rkj,Transportation,Commercial/Services,Transportation,Transportation,Transportation,Commercial/Services
dr5rkk,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services,Culture & Leisure,Culture & Leisure
dr5rkm,Healthcare & Welfare,Healthcare & Welfare,Unknown,Healthcare & Welfare,Healthcare & Welfare,Residential
dr5rkn,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rkp,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rkq,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Unknown
