geohash,Commercial/Services_weekday,Culture & Leisure_weekday,Educational_weekday,Healthcare & Welfare_weekday,Residential_weekday,Transportation_weekday,count_weekday,major_category_weekday,Commercial/Services_holiday,Culture & Leisure_holiday,Educational_holiday,Healthcare & Welfare_holiday,Residential_holiday,Transportation_holiday,count_holiday,major_category_holiday,Commercial/Services_morning,Culture & Leisure_morning,Educational_morning,Healthcare & Welfare_morning,Residential_morning,Transportation_morning,count_morning,major_category_morning,Commercial/Services_afternoon,Culture & Leisure_afternoon,Educational_afternoon,Healthcare & Welfare_afternoon,Residential_afternoon,Transportation_afternoon,count_afternoon,major_category_afternoon,Commercial/Services_evening,Culture & Leisure_evening,Educational_evening,Healthcare & Welfare_evening,Residential_evening,Transportation_evening,count_evening,major_category_evening,Commercial/Services_night,Culture & Leisure_night,Educational_night,Healthcare & Welfare_night,Residential_night,Transportation_night,count_night,major_category_night
dr5prm,0.0,1.0,0.0,0.0,0.0,0.0,8.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,4.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,7.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Culture & Leisure
dr5pru,0.0,0.0,0.0,0.0,0.0,1.0,41.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,7.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,30.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,Transportation
dr5pry,0.0,0.0,0.0,0.0,0.0,1.0,11.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,7.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,7.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,6.0,Transportation
dr5ptu,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,5.0,Healthcare & Welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pvb,0.0,0.0,0.0,0.0,1.0,0.0,13.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential
dr5pwb,0.0,0.0,0.0,1.0,0.0,0.0,7.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,12.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,6.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,6.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,5.0,Healthcare & Welfare
dr5pwv,0.0,0.0,0.0,0.0,0.46153846153846156,0.5384615384615384,13.0,Transportation,0.0,0.1111111111111111,0.0,0.0,0.4444444444444444,0.4444444444444444,9.0,Residential,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation,0.0,0.0,0.0,0.0,0.6,0.4,5.0,Residential,0.0,0.1,0.0,0.0,0.7,0.2,10.0,Residential
dr5pwx,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pwy,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Culture & Leisure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Culture & Leisure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pxc,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,6.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential
dr5pxd,0.0,0.0,0.0,0.0,0.0,1.0,15.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,7.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,6.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,6.0,Transportation
dr5pxf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pxm,0.0,0.0,0.0,0.0,1.0,0.0,19.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,7.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,17.0,Residential
dr5pxn,0.7333333333333333,0.0,0.26666666666666666,0.0,0.0,0.0,15.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Commercial/Services,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Educational,0.8,0.0,0.2,0.0,0.0,0.0,5.0,Commercial/Services,0.9,0.0,0.1,0.0,0.0,0.0,10.0,Commercial/Services
dr5pxs,1.0,0.0,0.0,0.0,0.0,0.0,14.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,6.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,6.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Commercial/Services
dr5pxw,1.0,0.0,0.0,0.0,0.0,0.0,8.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pxx,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pxz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential
dr5py1,0.6428571428571429,0.0,0.0,0.0,0.0,0.35714285714285715,28.0,Commercial/Services,0.2727272727272727,0.0,0.0,0.0,0.0,0.7272727272727273,11.0,Transportation,0.6363636363636364,0.0,0.0,0.0,0.0,0.36363636363636365,11.0,Commercial/Services,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,6.0,Transportation,0.5,0.0,0.0,0.0,0.0,0.5,18.0,Commercial/Services,0.75,0.0,0.0,0.0,0.0,0.25,4.0,Commercial/Services
dr5pyb,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pye,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential
dr5pyg,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pyj,0.0,0.0,0.0,0.0,1.0,0.0,61.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,30.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,7.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,41.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,34.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,9.0,Residential
dr5pyv,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pyx,0.0,0.0,0.0,0.0,1.0,0.0,23.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,16.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,7.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,17.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,11.0,Residential
dr5pyy,0.21052631578947367,0.0,0.0,0.0,0.0,0.7894736842105263,19.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,Transportation,0.75,0.0,0.0,0.0,0.0,0.25,4.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Transportation,0.5,0.0,0.0,0.0,0.0,0.5,2.0,Commercial/Services
dr5pyz,0.0,0.0,0.0,0.0,1.0,0.0,20.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,6.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,11.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,8.0,Residential
dr5pz0,0.0,0.5625,0.0,0.0,0.0,0.4375,16.0,Culture & Leisure,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,3.0,Culture & Leisure,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Transportation,0.0,0.6,0.0,0.0,0.0,0.4,5.0,Culture & Leisure,0.0,0.7272727272727273,0.0,0.0,0.0,0.2727272727272727,11.0,Culture & Leisure
dr5pz1,0.0,1.0,0.0,0.0,0.0,0.0,5.0,Culture & Leisure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Culture & Leisure
dr5pz4,0.0,0.0,0.0,0.0,0.0,1.0,19.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pz5,1.0,0.0,0.0,0.0,0.0,0.0,9.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,9.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Commercial/Services
dr5pz6,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Culture & Leisure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Culture & Leisure
dr5pz7,0.0,0.0,0.0,0.0,0.0,1.0,8.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,4.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,4.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Transportation
dr5pzd,0.0,0.0,0.0,0.0,0.7777777777777778,0.2222222222222222,9.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,0.5,0.5,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,6.0,Residential
dr5pzh,0.0,1.0,0.0,0.0,0.0,0.0,7.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,5.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,4.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,4.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Culture & Leisure
dr5pzj,1.0,0.0,0.0,0.0,0.0,0.0,6.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Commercial/Services
dr5pzm,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential
dr5pzq,0.0,0.0,1.0,0.0,0.0,0.0,9.0,Educational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Educational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pzt,0.0,0.0,0.0,0.0,1.0,0.0,26.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,22.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,6.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,17.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,21.0,Residential
dr5pzv,0.0,0.0,0.0,0.0,0.0,1.0,11.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Transportation
dr5pzy,1.0,0.0,0.0,0.0,0.0,0.0,22.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,5.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,22.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,5.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5qbe,0.0,0.0,0.0,0.0,1.0,0.0,8.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential
dr5qbm,1.0,0.0,0.0,0.0,0.0,0.0,28.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,19.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,12.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,24.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,11.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5qbq,0.2777777777777778,0.0,0.0,0.0,0.7222222222222222,0.0,18.0,Residential,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,18.0,Residential,0.2,0.0,0.0,0.0,0.8,0.0,5.0,Residential,0.6,0.0,0.0,0.0,0.4,0.0,10.0,Commercial/Services,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,6.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,15.0,Residential
dr5qbw,0.0,0.0,1.0,0.0,0.0,0.0,26.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,4.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,10.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,13.0,Educational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5qbx,0.0,0.0,1.0,0.0,0.0,0.0,13.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,4.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,7.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,4.0,Educational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5qc3,0.0,0.0,0.0,0.0,1.0,0.0,10.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,11.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential
dr5qf4,0.0,1.0,0.0,0.0,0.0,0.0,24.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,11.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,6.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,24.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,4.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Culture & Leisure
dr5qfh,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Healthcare & Welfare
dr5qft,0.0,1.0,0.0,0.0,0.0,0.0,40.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,20.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,9.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,36.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,7.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,8.0,Culture & Leisure
dr5qfx,0.0,0.0,0.0,0.0,0.0,1.0,18.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,13.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,11.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,12.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,6.0,Transportation
dr5qu4,0.0,0.0,0.0,0.0,0.6862745098039216,0.3137254901960784,51.0,Residential,0.0,0.0,0.0,0.0,0.7894736842105263,0.21052631578947367,19.0,Residential,0.0,0.0,0.0,0.0,0.5652173913043478,0.43478260869565216,23.0,Residential,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,7.0,Residential,0.0,0.0,0.0,0.0,0.9230769230769231,0.07692307692307693,13.0,Residential,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,27.0,Residential
